sentence	predicted	label	kotogram
ktkr神対応。	neutral	netslang	⌈ˢktkrᵖnoun:proper-nounʳキタコレ⌉⌈ˢ神対応ᵖnoun:common-nounʳカミタイオウ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
kwsk教えて。	neutral	netslang	⌈ˢkwskᵖnoun:proper-nounʳクワシク⌉⌈ˢ教えᵖverb:general:e-ichidan-a:conjunctiveᵇ教えるᵈ教えるʳオシエ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
kwsk詳しく教えて。	neutral	netslang	⌈ˢkwskᵖnoun:proper-nounʳクワシク⌉⌈ˢ詳しくᵖadjective:general:adjective:conjunctiveᵇ詳しいᵈ詳しいʳクワシク⌉⌈ˢ教えᵖverb:general:e-ichidan-a:conjunctiveᵇ教えるᵈ教えるʳオシエ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
kwsk頼む。	neutral	netslang	⌈ˢkwskᵖnoun:proper-nounʳクワシク⌉⌈ˢ頼むᵖverb:general:godan-ma:terminalʳタノム⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
wktkして待つ。	neutral	netslang	⌈ˢwktkᵖnoun:proper-nounʳワクテカ⌉⌈ˢしᵖverb:non-self-reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢ待つᵖverb:general:godan-ta:terminalʳマツ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
wktkして待機中。	neutral	netslang	⌈ˢwktkᵖnoun:proper-nounʳワクテカ⌉⌈ˢしᵖverb:non-self-reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢ待機ᵖnoun:common-noun:suru-possibleʳタイキ⌉⌈ˢ中ᵖsuffix:noun-like:adverb-possibleʳチュウ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
wktk止まらん。	kansaiben	netslang	⌈ˢwktkᵖnoun:proper-nounʳワクテカ⌉⌈ˢ止まらᵖverb:general:godan-ra:imperfectiveᵇ止まるᵈ止まるʳトマラ⌉⌈ˢんᵖauxiliary-verb:auxv-nu:terminal-nasalᵇぬᵈぬʳン⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
「あなたはたしか・・・えーと、えーと・・・も」「頭文字から間違っとるわい！！」	kansaiben,joseigo	neutral	⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢあなたᵖpronounʳアナタ⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢたしかᵖadverbʳタシカ⌉⌈ˢ・ᵖauxiliary-symbol:general⌉⌈ˢ・ᵖauxiliary-symbol:general⌉⌈ˢ・ᵖauxiliary-symbol:general⌉⌈ˢえーᵖinterjection:fillerʳエー⌉⌈ˢとᵖparticle:case-particleʳト⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢえーとᵖinterjection:fillerʳエート⌉⌈ˢ・ᵖauxiliary-symbol:general⌉⌈ˢ・ᵖauxiliary-symbol:general⌉⌈ˢ・ᵖauxiliary-symbol:general⌉⌈ˢもᵖparticle:binding-particleʳモ⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢ頭文字ᵖnoun:common-nounʳカシラモジ⌉⌈ˢからᵖparticle:case-particleʳカラ⌉⌈ˢ間違っᵖverb:non-self-reliant:godan-waa:conjunctive-geminateᵇ間違うᵈ間違うʳマチガッ⌉⌈ˢとるᵖauxiliary-verb:godan-ra:terminalʳトル⌉⌈ˢわᵖparticle:sentence-final-particleʳワ⌉⌈ˢいᵖparticle:sentence-final-particleʳイ⌉⌈ˢ！ᵖauxiliary-symbol:periodᵇ!ᵈ!ʳ!⌉⌈ˢ！ᵖauxiliary-symbol:periodᵇ!ᵈ!ʳ!⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉
「あなたを愛しているのよ」と言わんばかりに彼女は僕にウィンクした。	kansaiben,joseigo,danseigo	kansaiben,danseigo	⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢあなたᵖpronounʳアナタ⌉⌈ˢをᵖparticle:case-particleʳヲ⌉⌈ˢ愛しᵖverb:general:sa-irregular:conjunctiveᵇ愛するᵈ愛するʳアイシ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢいるᵖverb:non-self-reliant:i-ichidan-a:attributiveʳイル⌉⌈ˢのᵖparticle:pre-noun-particleʳノ⌉⌈ˢよᵖparticle:sentence-final-particleʳヨ⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉⌈ˢとᵖparticle:case-particleʳト⌉⌈ˢ言わᵖverb:general:godan-waa:imperfectiveᵇ言うᵈ言うʳイワ⌉⌈ˢんᵖauxiliary-verb:classical-auxv-mu:attributive-nasalᵇむᵈむʳン⌉⌈ˢばかりᵖparticle:adverbial-particleʳバカリ⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢ彼女ᵖpronounʳカノジョ⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢ僕ᵖpronounʳボク⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢウィンクᵖnoun:common-noun:suru-possible⌉⌈ˢしᵖverb:non-self-reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢたᵖauxiliary-verb:auxv-ta:terminalʳタ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
「あの、失礼ですが、カナダの方ですか？」「はい、そうですけど、どうしてお分かりになったんですか？」	neutral	sonkeigo	⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢあのᵖattributiveʳアノ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢ失礼ᵖnoun:common-noun:pos2-unk2ʳシツレイ⌉⌈ˢですᵖauxiliary-verb:auxv-desu:terminalʳデス⌉⌈ˢがᵖparticle:conjunctive-particleʳガ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢカナダᵖnoun:proper-noun:place-name:country⌉⌈ˢのᵖparticle:case-particleʳノ⌉⌈ˢ方ᵖnoun:common-nounʳホウ⌉⌈ˢですᵖauxiliary-verb:auxv-desu:terminalʳデス⌉⌈ˢかᵖparticle:sentence-final-particleʳカ⌉⌈ˢ？ᵖauxiliary-symbol:periodᵇ?ᵈ?ʳ?⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢはいᵖinterjection:generalʳハイ⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢそうᵖadverbʳソウ⌉⌈ˢですᵖauxiliary-verb:auxv-desu:terminalʳデス⌉⌈ˢけどᵖparticle:conjunctive-particleʳケド⌉⌈ˢ、ᵖauxiliary-symbol:comma⌉⌈ˢどうᵖadverbʳドウ⌉⌈ˢしᵖverb:non-self-reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢおᵖprefixʳオ⌉⌈ˢ分かりᵖverb:general:godan-ra:conjunctiveᵇ分かるᵈ分かるʳワカリ⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢなっᵖverb:non-self-reliant:godan-ra:conjunctive-geminateᵇなるᵈなるʳナッ⌉⌈ˢたᵖauxiliary-verb:auxv-ta:attributiveʳタ⌉⌈ˢんᵖparticle:pre-noun-particleʳン⌉⌈ˢですᵖauxiliary-verb:auxv-desu:terminalʳデス⌉⌈ˢかᵖparticle:sentence-final-particleʳカ⌉⌈ˢ？ᵖauxiliary-symbol:periodᵇ?ᵈ?ʳ?⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉
「いつもより早く出勤してください」「了解しました」	neutral	guntai	⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢいつもᵖnoun:common-noun:adverb-possibleʳイツモ⌉⌈ˢよりᵖparticle:case-particleʳヨリ⌉⌈ˢ早くᵖadjective:general:adjective:conjunctiveᵇ早いᵈ早いʳハヤク⌉⌈ˢ出勤ᵖnoun:common-noun:suru-possibleʳシュッキン⌉⌈ˢしᵖverb:non-self-reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢくださいᵖverb:non-self-reliant:godan-ra:imperativeᵇくださるᵈくださるʳクダサイ⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢ了解ᵖnoun:common-noun:suru-possibleʳリョウカイ⌉⌈ˢしᵖverb:non-self-reliant:sa-irregular:conjunctiveᵇするᵈするʳシ⌉⌈ˢましᵖauxiliary-verb:auxv-masu:conjunctiveᵇますᵈますʳマシ⌉⌈ˢたᵖauxiliary-verb:auxv-ta:terminalʳタ⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉
「げっ。野菜が入ってる！」「えっ？野菜が入ってるから美味しいんだよっ」		neutral	⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢげっᵖinterjection:generalʳゲッ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉⌈ˢ野菜ᵖnoun:common-nounʳヤサイ⌉⌈ˢがᵖparticle:case-particleʳガ⌉⌈ˢ入っᵖverb:general:godan-ra:conjunctive-geminateᵇ入るᵈ入るʳハイッ⌉⌈ˢてるᵖauxiliary-verb:e-ichidan-ta:terminalʳテル⌉⌈ˢ！ᵖauxiliary-symbol:periodᵇ!ᵈ!ʳ!⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢえっᵖinterjection:generalʳエッ⌉⌈ˢ？ᵖauxiliary-symbol:periodᵇ?ᵈ?ʳ?⌉⌈ˢ野菜ᵖnoun:common-nounʳヤサイ⌉⌈ˢがᵖparticle:case-particleʳガ⌉⌈ˢ入っᵖverb:general:godan-ra:conjunctive-geminateᵇ入るᵈ入るʳハイッ⌉⌈ˢてるᵖauxiliary-verb:e-ichidan-ta:terminalʳテル⌉⌈ˢからᵖparticle:conjunctive-particleʳカラ⌉⌈ˢ美味しいᵖadjective:general:adjective:attributiveʳオイシイ⌉⌈ˢんᵖparticle:pre-noun-particleʳン⌉⌈ˢだᵖauxiliary-verb:auxv-da:terminalʳダ⌉⌈ˢよっᵖinterjection:generalʳヨッ⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉
「この作戦はうまくいくだろうか」彼はひとりごちた。	neutral	guntai	⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢこのᵖattributiveʳコノ⌉⌈ˢ作戦ᵖnoun:common-nounʳサクセン⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢうまくᵖadjective:general:adjective:conjunctiveᵇうまいᵈうまいʳウマク⌉⌈ˢいくᵖverb:non-self-reliant:godan-ka:terminalʳイク⌉⌈ˢだろうᵖauxiliary-verb:auxv-da:volitional-presumptiveᵇだᵈだʳダロウ⌉⌈ˢかᵖparticle:sentence-final-particleʳカ⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉⌈ˢ彼ᵖpronounʳカレ⌉⌈ˢはᵖparticle:binding-particleʳハ⌉⌈ˢひとりごちᵖverb:general:godan-ta:conjunctiveᵇひとりごつᵈひとりごつʳヒトリゴチ⌉⌈ˢたᵖauxiliary-verb:auxv-ta:terminalʳタ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
「これ本当に自然な言い方なのかな？」「グーグル先生に聞いてみよう」	neutral	kyoshigo	⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢこれᵖpronounʳコレ⌉⌈ˢ本当ᵖnoun:common-nounʳホントウ⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢ自然ᵖshape-word:generalʳシゼン⌉⌈ˢなᵖauxiliary-verb:auxv-da:attributiveᵇだᵈだʳナ⌉⌈ˢ言い方ᵖnoun:common-nounʳイイカタ⌉⌈ˢなᵖauxiliary-verb:auxv-da:attributiveᵇだᵈだʳナ⌉⌈ˢのᵖparticle:pre-noun-particleʳノ⌉⌈ˢかᵖparticle:sentence-final-particleʳカ⌉⌈ˢなᵖparticle:sentence-final-particleʳナ⌉⌈ˢ？ᵖauxiliary-symbol:periodᵇ?ᵈ?ʳ?⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢグーグル先生ᵖnoun:proper-nounʳグーグルセンセイ⌉⌈ˢにᵖparticle:case-particleʳニ⌉⌈ˢ聞いᵖverb:general:godan-ka:conjunctive-i-soundᵇ聞くᵈ聞くʳキイ⌉⌈ˢてᵖparticle:conjunctive-particleʳテ⌉⌈ˢみようᵖverb:non-self-reliant:i-ichidan-ma:volitional-presumptiveᵇみるᵈみるʳミヨウ⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉
「じゃね」と言いたい。	neutral	netslang	⌈ˢ「ᵖauxiliary-symbol:bracket-openʳキゴウ⌉⌈ˢじゃᵖconjunctionʳジャ⌉⌈ˢねᵖparticle:sentence-final-particleʳネ⌉⌈ˢ」ᵖauxiliary-symbol:bracket-closeʳキゴウ⌉⌈ˢとᵖparticle:case-particleʳト⌉⌈ˢ言いᵖverb:general:godan-waa:conjunctiveᵇ言うᵈ言うʳイイ⌉⌈ˢたいᵖauxiliary-verb:auxv-tai:terminalʳタイ⌉⌈ˢ。ᵖauxiliary-symbol:period⌉
